Brand,ScreenSize,Ram,HardDisk,Price
ASUS,14,16,1000,1829.99
ASUS,15.6,8,512,606.15
MSI,15.6,32,1000,1899
Dell,15.6,16,256,1038.43
Lenovo,16,40,2000,1799
Lenovo,14,8,512,922.55
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
Apple,15.07458908761577,96,4000,5299
HP,14,8,1000,629.49
Dell,13.3,32,512,1507.9
Dell,15.6,16,512,649
Lenovo,13,4,1000,195.99
ASUS,15.6,8,512,940.47
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
AWOW,11.6,6,256,308.42
ASUS,16,16,1000,1799.99
Apple,16.2,64,2000,4079.99
MSI,15.6,16,1000,799
HP,14,16,512,1681.99
MSI,16,32,1000,1743
Dell,16,64,1000,4762.76
ASUS,10.5,4,65,349.95
ROKC,15.6,20,1152,389.99
HP,15.6,16,1000,459.99
ROKC,15.6,20,1000,639.99
HP,14,8,256,428.45
SAMSUNG,14,8,32,349.99
acer,11.6,16,1000,139
ASUS,15.6,8,512,619.99
Dell,14,16,256,691.53
Apple,13.6,16,1000,2778
DELL,16,32,1000,899.99
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
ASUS,14,32,2000,1947.99
HP,14,4,64,259.95
Lenovo,13.3,4,32,245
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
Gigabyte,15.6,16,1000,2099.99
Lenovo,14,16,1000,1199.99
Lenovo,15.6,12,512,508
Dell,15.6,64,4000,2013.5
Microsoft,12.3,8,256,624.99
Dell,15.6,32,1000,1689.18
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
Dell,14,16,512,1029.99
HP,14,8,128,313
ASUS,15.6,8,512,699.99
Dell,16,16,512,1161.11
ASUS,15.6,8,128,548
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
Lenovo,15.6,8,256,389
Lenovo,10.1,4,64,349
ASUS,17.3,8,512,999.99
LG,14,16,1000,1303.76
Dell,15.6,32,512,2387.94
Dell,15.6,16,256,1169.99
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
Toughbook,12,8,256,993.99
Microsoft,15,8,512,858.98
ASUS,13.9,1,1000,1399.9
Lenovo,14,16,512,2079.99
MSI,13.3,32,1000,1299
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
Lenovo,16,32,1000,2349.99
Dell,18,32,1000,2929.99
Dell,15.6,32,1000,930.17
ASUS,17.3,4,32,259.99
Dell,14,8,256,899
acer,17.3,8,256,493.49
MSI,16,32,1000,1900.58
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
MSI,16,32,1000,3499
Dell,16,40,1000,1096.99
Quality Refurbished Computers,15.6,8,120,159
Lenovo,16,32,1000,1799
Lenovo,15.6,4,256,395
Panasonic,14,16,512,799.99
Dell,15.6,16,1000,2022
ROKC,15.6,20,1152,389.99
HP,15.6,16,1000,459.99
ROKC,15.6,20,1000,639.99
Dell,15.6,32,1000,548
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
HP,11.6,4,128,369
HP,17.3,8,512,639.99
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
Dell,15.6,16,512,1552.3
Dell,14,8,512,350
HP,15.6,16,512,675
Dell,14,16,1000,595.97
DELL,16,16,1000,849.99
Dell,14.1,8,256,415
Lenovo,15.6,4,256,299.99
ROKC,15.6,20,1152,389.99
HP,15.6,16,1000,459.99
ROKC,15.6,20,1000,639.99
Lenovo,15.6,16,512,816.33
acer,15.6,8,64,399.99
Dell,17.3,16,512,2199
HP,15.6,8,256,719.99
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
ASUS,14,16,1000,1299.99
HP,15.6,8,256,457.64
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
Dell,11,4,16,57.99
HP,15.6,16,512,1169.99
ASUS,13.3,16,1000,799.99
Lenovo,15.6,8,256,799
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
HP,15.6,16,1000,949.31
Lenovo,14,16,512,1270.77
acer,15.6,8,64,345.44
HP,16,16,512,1427.99
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
acer,14,8,512,668.55
Lenovo,14,8,256,883.58
HP,13.5,16,512,2039
MSI,17.3,32,1000,1499
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
Gigabyte,17.3,16,1000,2149
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
MSI,15.6,32,1000,1149.99
LG,17,16,1000,1787.62
LG,14,16,512,1299.99
MSI,14,32,1000,1001.18
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
Dell,15.6,32,512,602
HP,14,8,1000,379
Apple,15.07458908761577,64,1000,3699
Dell,15.6,16,512,1578.21
SAMSUNG,11.6,4,32,209.96
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
ROKC,14,16,1000,409.99
Lenovo,16,32,1000,3499
acer,17.3,12,256,478.99
Lenovo,14,16,1000,589
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
ASUS,14.5,8,512,899.99
Dell,14,32,1000,1670.17
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
HP,15.6,16,256,899
HP,11.6,4,1000,240.74
Dell,13.4,16,512,992.99
ROKC,15.6,20,1152,389.99
HP,15.6,16,1000,459.99
ROKC,15.6,20,1000,639.99
HP,15.6,8,512,504
Dell,14,16,256,1900.08
Dell,13.3,16,1000,1125.99
ASUS,14,4,128,284.92
acer,15.6,16,512,714.99
HP,11.6,4,32,270.28
DELL,16,32,1000,899.99
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
Dell,14,32,1000,2167.89
HP,13.5,16,256,1003.99
ASUS,14,4,32,212.32
Dell,14,16,512,499.99
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
ASUS,16,32,1000,2699
Dell,15.6,32,1000,1389.84
HP,14,4,64,229.99
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
Lenovo,17.3,8,1000,1449.99
Dell,14,16,256,1377.76
Dell,15.6,32,1000,1948.99
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
Lenovo,14,16,512,699.99
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
Lenovo,13,8,1000,806.47
ROKC,15.6,4,128,249.99
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
SAMSUNG,14,16,1000,1409.99
Lenovo,15.6,8,256,1059
ROKC,14,8,1000,589.99
HP,15.6,64,1000,999.99
Dell,16,64,2000,1081.5
HP,16,32,1000,3196.99
acer,14,16,512,1079.99
HP,17.3,32,1000,729.99
Dell,14,8,256,219
Dell,15.6,32,512,1629.95
ROKC,15.6,20,1152,389.99
